,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genre,movie_id,title
0,,,1,1,1,,,,,,,,,,,,,,Animation|Children's|Comedy,1.0,Toy Story (1995)
1,,1,,1,,,,,1,,,,,,,,,,Adventure|Children's|Fantasy,2.0,Jumanji (1995)
2,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,3.0,Grumpier Old Men (1995)
3,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,4.0,Waiting to Exhale (1995)
4,,,,,1,,,,,,,,,,,,,,Comedy,5.0,Father of the Bride Part II (1995)
5,1,,,,,1,,,,,,,,,,1,,,Action|Crime|Thriller,6.0,Heat (1995)
6,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,7.0,Sabrina (1995)
7,,1,,1,,,,,,,,,,,,,,,Adventure|Children's,8.0,Tom and Huck (1995)
8,1,,,,,,,,,,,,,,,,,,Action,9.0,Sudden Death (1995)
9,1,1,,,,,,,,,,,,,,1,,,Action|Adventure|Thriller,10.0,GoldenEye (1995)
10,,,,,1,,,1,,,,,,1,,,,,Comedy|Drama|Romance,11.0,"American President, The (1995)"
11,,,,,1,,,,,,1,,,,,,,,Comedy|Horror,12.0,Dracula: Dead and Loving It (1995)
12,,,1,1,,,,,,,,,,,,,,,Animation|Children's,13.0,Balto (1995)
13,,,,,,,,1,,,,,,,,,,,Drama,14.0,Nixon (1995)
14,1,1,,,,,,,,,,,,1,,,,,Action|Adventure|Romance,15.0,Cutthroat Island (1995)
15,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,16.0,Casino (1995)
16,,,,,,,,1,,,,,,1,,,,,Drama|Romance,17.0,Sense and Sensibility (1995)
17,,,,,,,,,,,,,,,,1,,,Thriller,18.0,Four Rooms (1995)
18,,,,,1,,,,,,,,,,,,,,Comedy,19.0,Ace Ventura: When Nature Calls (1995)
19,1,,,,,,,,,,,,,,,,,,Action,20.0,Money Train (1995)
20,1,,,,1,,,1,,,,,,,,,,,Action|Comedy|Drama,21.0,Get Shorty (1995)
21,,,,,,1,,1,,,,,,,,1,,,Crime|Drama|Thriller,22.0,Copycat (1995)
22,,,,,,,,,,,,,,,,1,,,Thriller,23.0,Assassins (1995)
23,,,,,,,,1,,,,,,,1,,,,Drama|Sci-Fi,24.0,Powder (1995)
24,,,,,,,,1,,,,,,1,,,,,Drama|Romance,25.0,Leaving Las Vegas (1995)
25,,,,,,,,1,,,,,,,,,,,Drama,26.0,Othello (1995)
26,,,,,,,,1,,,,,,,,,,,Drama,27.0,Now and Then (1995)
27,,,,,,,,,,,,,,1,,,,,Romance,28.0,Persuasion (1995)
28,,1,,,,,,,,,,,,,1,,,,Adventure|Sci-Fi,29.0,"City of Lost Children, The (1995)"
29,,,,,,,,1,,,,,,,,,,,Drama,30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,,,,,,,,1,,,,,,,,,,,Drama,31.0,Dangerous Minds (1995)
31,,,,,,,,1,,,,,,,1,,,,Drama|Sci-Fi,32.0,Twelve Monkeys (1995)
32,,1,,,,,,,,,,,,1,,,,,Adventure|Romance,33.0,Wings of Courage (1995)
33,,,,1,1,,,1,,,,,,,,,,,Children's|Comedy|Drama,34.0,Babe (1995)
34,,,,,,,,1,,,,,,1,,,,,Drama|Romance,35.0,Carrington (1995)
35,,,,,,,,1,,,,,,,,,,,Drama,36.0,Dead Man Walking (1995)
36,,,,,,,1,,,,,,,,,,,,Documentary,37.0,Across the Sea of Time (1995)
37,,,,,1,,,,,,,,,,,,,,Comedy,38.0,It Takes Two (1995)
38,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,39.0,Clueless (1995)
39,,,,,,,,1,,,,,,,,,,,Drama,40.0,"Cry, the Beloved Country (1995)"
40,,,,,,,,1,,,,,,,,,1,,Drama|War,41.0,Richard III (1995)
41,1,,,,,1,,1,,,,,,,,,,,Action|Crime|Drama,42.0,Dead Presidents (1995)
42,,,,,,,,1,,,,,,,,,,,Drama,43.0,Restoration (1995)
43,1,1,,,,,,,,,,,,,,,,,Action|Adventure,44.0,Mortal Kombat (1995)
44,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,45.0,To Die For (1995)
45,,,,,,,,1,,,,,,1,,,,,Drama|Romance,46.0,How to Make an American Quilt (1995)
46,,,,,,1,,,,,,,,,,1,,,Crime|Thriller,47.0,Seven (Se7en) (1995)
47,,,1,1,,,,,,,,1,,1,,,,,Animation|Children's|Musical|Romance,48.0,Pocahontas (1995)
48,,,,,,,,1,,,,,,1,,,,,Drama|Romance,49.0,When Night Is Falling (1995)
49,,,,,,1,,,,,,,,,,1,,,Crime|Thriller,50.0,"Usual Suspects, The (1995)"
50,1,,,,,,,1,,,,,,,,1,,,Action|Drama|Thriller,51.0,Guardian Angel (1994)
51,,,,,1,,,,,,,,,,,,,,Comedy,52.0,Mighty Aphrodite (1995)
52,,,,,,,,1,,,,,,,,,,,Drama,53.0,Lamerica (1994)
53,,,,1,1,,,,,,,,,,,,,,Children's|Comedy,54.0,"Big Green, The (1995)"
54,,,,,,,,1,,,,,,,,,,,Drama,55.0,Georgia (1995)
55,,1,,1,,,,,1,,,,,,,,,,Adventure|Children's|Fantasy,56.0,Kids of the Round Table (1995)
56,,,,,,,,1,,,,,,,,,,,Drama,57.0,Home for the Holidays (1995)
57,,,,,,,,1,,,,,,1,,,,,Drama|Romance,58.0,"Postino, Il (The Postman) (1994)"
58,,,,,,,,1,,,,,1,,,,,,Drama|Mystery,59.0,"Confessional, The (Le Confessionnal) (1995)"
59,,1,,1,,,,,1,,,,,,,,,,Adventure|Children's|Fantasy,60.0,"Indian in the Cupboard, The (1995)"
